Year,Round,Game,Stretch 1,Stretch 2,Stretch 3,Stretch 4,Stretch 5,Stretch 6,Stretch 7
2018,1,1,ON: 0~12,OFF: 12~14.5,ON: 14.5~36,OFF: 36~37.5,ON: 37.5~48,—,—
2018,1,2,ON: 0~12,OFF: 12~17.5,ON: 17.5~36,OFF: 36~38.5,ON: 38.5~48,—,—
2018,1,3,ON: 0~12,OFF: 12~16,ON: 16~36,OFF: 36~38,ON: 38~48,—,—
2018,1,4,ON: 0~12,OFF: 12~13,ON: 13~36,OFF: 36~37,ON: 37~48,—,—
2018,1,5,ON: 0~12,OFF: 12~16.5,ON: 16.5~36,OFF: 36~37.5,ON: 37.5~48,—,—
2018,1,6,ON: 0~12,OFF: 12~17,ON: 17~24,OFF: 24~28,ON: 28~36,OFF: 36~SS48,—
2018,1,7,ON: 0~35,OFF: 35~40,ON: 40~48,—,—,—,—
2018,2,1,ON: 0~12,OFF: 12~15,ON: 15~36,OFF: 36~38.5,ON: 38.5~53*,—,—
2018,2,2,ON: 0~12,OFF: 12~17,ON: 17~36,OFF: 36~38,ON: 38~48,—,—
2018,2,3,ON: 0~12,OFF: 12~17,ON: 17~36,OFF: 36~38,ON: 38~48,—,—
2018,2,4,ON: 0~12,OFF: 12~16,ON: 16~36,OFF: 36~42,ON: 42~44,OFF: -,—
2018,3,1,ON: 0~12,OFF: 12~18,ON: 18~36,OFF: 36~42,ON: 42~48,—,—
2018,3,2,ON: 0~12,OFF: 12~17,ON: 17~36,OFF: 36~40,ON: 40~48,—,—
2018,3,3,ON: 0~12,OFF: 12~17,ON: 17~36,OFF: 36~39,ON: 39~45,OFF: 45~48,—
2018,3,4,ON: 0~12,OFF: 12~16,ON: 16~36,OFF: 36~38,ON: 38~48,—,—
2018,3,5,ON: 0~12,OFF: 12~17.5,ON: 17.5~36,OFF: 36~39.5,ON: 39.5~48,—,—
2018,3,6,ON: 0~12,OFF: 12~13,ON: 13~36,OFF: 36~37,ON: 37~48,—,—
2018,3,7,ON: 0~48,—,—,—,—,—,—
2018,4,1,ON: 0~12,OFF: 12~14,ON: 14~36,OFF: 36~37.5,ON: 37~53*,—,—
2018,4,2,ON: 0~12,OFF: 12~14.5,ON: 14.5~36,OFF: 36~37.5,ON: 37.5~48,—,—
2018,4,3,ON: 0~12,OFF: 12~13,ON: 13~48,—,—,—,—
2018,4,4,ON: 0~12,OFF: 12~15,ON: 15~36,OFF: 36~44,ON: 44~48,—,—